WORDS,LANGUAGE
storage,0
sustituyó,2
expansión,2
encroaching,0
disciplinas,2
menos,2
ciudadano,2
reduces,0
entraron,2
tout,1
robotics,0
dolympie,1
antojo,2
douverture,1
atracciones,2
toy,0
creados,2
toronto,0
vin,1
toute,1
maxpooling,0
the,1
recense,1
issued,0
most,2
planificación,2
point,0
regularidad,2
gymnase,1
adolescentes,2
trônant,1
août,1
trouvés,1
from,0
responsable,1
menacée,1
administrar,2
araldite,0
practical,0
quickly,0
sita,1
lugares,2
longueur,1
compte,1
ellos,2
triple,2
cocinero,2
celle,1
inspiraron,2
synthèse,1
émigrés,2
rey,2
colocándola,2
chinas,2
îles,1
iniciada,2
was,0
firmaron,2
mantuvo,2
burguesía,2
endurcir,1
certain,0
needs,0
diputados,2
navratri,1
hodler,1
implantación,2
which,0
antiques,1
status,0
completo,2
finanzas,2
graphite,0
des,1
human,0
continúa,2
apagado,2
esperaba,2
imágenes,2
comités,2
lies,0
generals,0
mnist,0
dialogue,1
later,0
señales,2
simulation,0
labores,2
ganador,2
deporte,2
graphics,0
papert,0
plafonné,1
revivir,2
debated,0
panathinaikó,2
llevaron,2
viii,2
era,2
largo,2
solution,0
ayuntamientos,2
full,0
escarapela,2
détracteurs,1
certaines,1
alemán,2
branched,0
siglos,2
technique,0
filosóficos,2
leurs,1
fromage,1
nhésitez,1
generally,0
dio,2
mechanical,0
espectáculo,2
generic,0
tiempo,2
asia,2
convective,0
eventos,2
gala,2
presented,0
mining,0
esta,2
eds,0
determinar,2
paralympiques,1
roger,0
olympiades,1
did,0
autochtones,1
than,0
jean,1
simplified,0
metals,0
minar,2
athlétisme,1
pensamiento,2
northeastward,0
inversión,2
entusiasmados,2
dauthentiques,1
true,0
asistencia,2
oiseau,1
estatuas,2
carie,1
canada,1
equipos,2
removing,0
before,0
estatus,2
racing,0
invertido,2
wdhn,0
cette,1
caída,2
controversia,2
avery,2
examinados,2
revolution,0
podio,2
repetition,0
chamber,0
actualidad,2
climatiques,1
citons,1
mucho,2
progressif,1
posing,0
fait,1
prediction,0
tienen,2
blanco,2
pitts,0
segmentation,0
diferentes,2
derrocó,2
for,0
